India	2,300	2,340	2,280	2,300
Indonesia	2,390	2,570	2,480	2,540
Iran (Islamic Republic of)	2,970	3,040	3,060	3,040
Ireland	3,620	3,610	3,670	3,530
Israel	3,410	3,460	3,560	3,540
Italy	3,580	3,530	3,700	3,660
Jamaica	2,510	2,700	2,800	2,850
Japan	2,920	2,920	2,860	2,810
Jordan	2,840	2,700	2,740	2,980
Kazakhstan	3,280	3,120	2,630	3,360
Kenya	1,980	2,040	2,040	2,060
Kiribati	2,650	2,760	2,820	2,890
Kuwait	2,350	3,010	2,970	3,040
Kyrgyzstan	2,400	2,510	2,440	2,670
Lao People's Democratic Republic	2,010	2,040	2,120	2,230
Latvia	3,170	2,980	2,920	3,020
Lebanon	3,010	3,010	3,070	3,110
Lesotho	2,370	2,380	2,430	2,470
Liberia	2,220	2,170	2,110	2,160
Libyan Arab Jamahiriya	3,180	3,170	3,110	3,140
Lithuania	2,830	3,000	3,350	3,420
Luxembourg	0	0	3,640	3,690
Madagascar	2,200	2,090	2,060	2,130
Malawi	1,870	1,980	2,090	2,130
Malaysia	2,720	2,960	2,850	2,910
Maldives	2,400	2,430	2,550	2,680
Mali	2,180	2,220	2,390	2,580
Malta	3,240	3,450	3,470	3,590
Mauritania	2,580	2,700	2,770	2,820
Mauritius	2,760	2,810	2,890	2,940
Mexico	3,090	3,100	3,210	3,250
Mongolia	2,080	2,060	2,210	2,250
Morocco	3,000	3,030	3,090	3,230
Mozambique	1,740	1,920	1,950	2,070
Myanmar	1,840	2,040	2,160	2,440
Namibia	2,060	2,100	2,290	2,350
Nepal	2,190	2,210	2,260	2,350
Netherlands	3,280	3,280	3,230	3,240
Netherlands Antilles	2,650	2,970	3,080	2,970
New Caledonia	2,810	2,740	2,780	2,790
New Zealand	3,210	3,170	3,130	3,150
Nicaragua	1,770	1,970	2,250	2,400
Niger	1,970	1,980	2,150	2,310
Nigeria	2,310	2,530	2,560	2,710
Norway	3,230	3,280	3,400	3,460
Occupied Palestinian Territory	0	1,930	2,160	2,130
Pakistan	2,210	2,340	2,270	2,250
Panama	2,320	2,290	2,330	2,450
Paraguay	2,390	2,590	2,640	2,620
Peru	2,110	2,260	2,340	2,430
Philippines	2,230	2,340	2,400	2,520
Poland	3,330	3,310	3,410	3,400
Portugal	3,400	3,490	3,580	3,580
Republic of Korea	2,970	3,050	3,050	3,070
Republic of Moldova	2,880	2,640	2,680	2,910
Romania	2,990	3,080	3,270	3,510
Russian Federation	2,960	2,870	2,980	3,270
Rwanda	1,830	1,730	1,980	2,050
Saint Kitts and Nevis	2,580	2,430	2,500	2,450
Saint Lucia	2,580	2,680	2,680	2,740
Saint Vincent and the Grenadines	2,360	2,370	2,630	2,810
Samoa	2,550	2,520	2,810	2,880
Sao Tome and Principe	2,230	2,230	2,450	2,660
Saudi Arabia	2,850	2,940	3,010	3,130
Senegal	2,190	2,140	2,140	2,320
Serbia and Montenegro	2,850	2,970	2,630	2,710
Seychelles	2,280	2,320	2,390	2,430
Sierra Leone	1,950	2,060	1,990	2,130
Slovakia	2,900	2,910	2,790	2,880
Slovenia	2,900	2,990	3,060	3,220
Solomon Islands	2,120	2,320	2,360	2,430
South Africa	2,820	2,810	2,900	2,990
Spain	3,340	3,320	3,370	3,270
Sri Lanka	2,170	2,250	2,360	2,390
Sudan	1,960	2,100	2,140	2,270
Suriname	2,440	2,490	2,430	2,470
Swaziland	2,380	2,190	2,290	2,310
Sweden	2,990	3,080	3,110	3,120
Switzerland	3,370	3,320	3,400	3,420
Syrian Arab Republic	2,830	2,980	3,030	3,050
Tajikistan	2,020	1,940	1,900	2,130
Thailand	2,250	2,430	2,450	2,530
The former Yugoslav Republic of Macedonia	2,550	2,640	2,770	2,980
Timor-Leste	1,940	2,010	2,020	2,020
Togo	1,890	2,010	2,030	2,150
Trinidad and Tobago	2,610	2,570	2,700	2,710
Tunisia	3,120	3,220	3,250	3,310
Turkey	3,590	3,500	3,450	3,480
Turkmenistan	2,550	2,560	2,630	2,750
Uganda	2,280	2,200	2,280	2,250
Ukraine	3,040	2,850	2,980	3,230
United Arab Emirates	3,160	3,130	3,120	3,140
United Kingdom	3,240	3,260	3,410	3,440
United Republic of Tanzania	2,110	1,930	1,950	2,020
United States of America	3,510	3,570	3,720	3,770
Uruguay	2,660	2,740	2,800	2,820
Uzbekistan	2,650	2,670	2,320	2,530
Vanuatu	2,530	2,590	2,630	2,720
Venezuela (Bolivarian Republic of)	2,460	2,390	2,420	2,610
Viet Nam	2,090	2,310	2,520	2,770
Yemen	1,980	1,980	2,010	2,030
Zambia	2,010	1,970	1,890	1,890
Zimbabwe	1,980	1,940	2,010	2,210
